Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Name;Networking - IP;Networking - MAC Address;Type;Virtual machines - Name;Operating System - Name;Components - Processors;Components - Graphics Cards;Software - Name
3d-data;127.0.0.1<br>10.10.11.22<br>fe80::be24:11ff:fed4:2867<br>172.17.0.1<br>172.18.0.1<br>172.19.0.1<br>172.22.0.1<br>172.20.0.1<br>172.21.0.1;00:00:00:00:00:00<br>bc:24:11:d4:28:67<br>bc:24:11:d4:28:67<br>de:9a:8f:54:df:18<br>5e:ca:53:fb:8e:21<br>9a:b9:45:32:e3:7a<br>5e:2d:36:b9:71:cf<br>0e:79:7e:7c:18:b9<br>fa:ae:a6:5a:ba:1d<br>5a:81:3a:bc:d0:68<br>0a:0d:f1:45:07:c6<br>72:e0:aa:11:f3:cb<br>f2:d6:2f:28:4a:c1<br>fe:b1:f5:5c:52:02<br>92:61:46:4e:64:68<br>06:9a:f5:55:ab:e8<br>0a:ec:2d:68:38:09<br>c2:5a:e9:af:de:9c<br>0a:0f:1a:2f:b0:f2<br>da:65:4c:f7:48:8e<br>6e:16:03:4b:f1:11<br>56:80:30:aa:30:9b<br>d2:84:f3:41:86:44<br>56:07:4c:03:d8:ae<br>9e:2a:d6:c7:90:df<br>a2:84:b7:3d:58:72<br>f6:d2:05:78:5b:55<br>1e:11:e7:69:ab:6b<br>5e:76:83:50:c1:41<br>86:87:66:57:43:2c<br>62:ee:2a:f2:65:e3<br>fe:59:86:72:92:22<br>86:ae:c1:37:85:f7<br>ca:04:68:2f:36:69;Desktop;cvat_server<br>cvat_worker_analytics_reports<br>cvat_worker_export<br>cvat_worker_chunks<br>cvat_utils<br>cvat_worker_webhooks<br>cvat_worker_import<br>cvat_worker_quality_reports<br>cvat_worker_annotation<br>cvat_ui<br>cvat_vector<br>cvat_redis_ondisk<br>cvat_opa<br>traefik<br>cvat_clickhouse<br>cvat_grafana<br>webapp<br>worker<br>broker<br>db<br>3d-data-analytics-backend-web-1<br>3d-data-analytics-backend-timescaledb-1<br>3d-data-analytics-backend-cron-1<br>3d-data-od-web-1<br>3d-data-od-db-1<br>webodm-node-odm-1<br>nginx-gcp<br>nginx-proxy<br>cvat_redis_inmem<br>cvat_db;Ubuntu 22.04.5 LTS;12th Gen Intel(R) Core(TM) i9-12900KF;NVIDIA Corporation Device;busybox-static - 1:1.30.1-7ubuntu3.1<br>cpp - 4:11.2.0-1ubuntu1<br>cpp-11 - 11.4.0-1ubuntu1~22.04<br>cracklib-runtime - 2.9.6-3.4build4<br>docker-ce - 5:28.0.4-1~ubuntu.22.04~jammy<br>g++ - 4:11.2.0-1ubuntu1<br>g++-11 - 11.4.0-1ubuntu1~22.04<br>gcc - 4:11.2.0-1ubuntu1<br>gcc-11 - 11.4.0-1ubuntu1~22.04<br>gcc-11-base - 11.4.0-1ubuntu1~22.04<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>git - 1:2.34.1-1ubuntu1.12<br>git-man - 1:2.34.1-1ubuntu1.12<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gnupg2 - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>iotop - 0.6-24-g733f3f8-1.1ubuntu0.1<br>javascript-common - 11+nmu1<br>libref-array1 - 0.6.2-1<br>lua-luv - 1.36.0-0-1<br>mailcap - 3.70+nmu1ubuntu1<br>man-db - 2.10.2-1<br>mc - 3:4.8.27-1<br>mc-data - 3:4.8.27-1<br>neovim - 0.6.1-3<br>netbase - 6.3<br>nftables - 1.0.2-1ubuntu3<br>openssh-client - 1:8.9p1-3ubuntu0.11<br>openssh-server - 1:8.9p1-3ubuntu0.11<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.11<br>openssl - 3.0.2-0ubuntu1.19<br>pastebinit - 1.5.1-1ubuntu1<br>postfix - 3.6.4-1ubuntu1.3<br>python3 - 3.10.6-1~22.04.1<br>python3.10 - 3.10.12-1~22.04.9<br>python3.10-dev - 3.10.12-1~22.04.9<br>rpcsvc-proto - 1.4.2-0ubuntu6<br>ssh - 1:8.9p1-3ubuntu0.11<br>strace - 5.16-0ubuntu3<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.5 LTS - 22.04.5 LTS (Jammy Jellyfish)<br>unzip - 6.0-26ubuntu3.2<br>wazuh-agent - 4.12.0-1<br>x11-common - 1:7.7+23ubuntu2<br>xauth - 1:1.1-1build2<br>xclip - 0.13-2<br>xkb-data - 2.33-1<br>xxd - 2:8.2.3995-1ubuntu2.23<br>zabbix-agent2 - 1:7.0.11-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zip - 3.0-12build2<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2<br>zlib1g-dev - 1:1.2.11.dfsg-2ubuntu9.2
alcione;127.0.0.1<br>::1<br>10.10.11.184<br>fe80::be24:11ff:fe4a:4c8c<br>172.17.0.1<br>172.18.0.1<br>fe80::42:22ff:fe91:ff54<br>fe80::5c58:92ff:fe14:c70f;00:00:00:00:00:00<br>bc:24:11:4a:4c:8c<br>bc:24:11:4a:4c:8c<br>02:42:0e:ca:0a:f4<br>02:42:22:91:ff:54<br>5e:58:92:14:c7:0f;Rack Mount Chassis;archi-nginx;Ubuntu 22.04.5 LTS;Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz;Matrox Electronics Systems Ltd. MGA G200eH3;busybox-static - 1:1.30.1-7ubuntu3.1<br>cracklib-runtime - 2.9.6-3.4build4<br>docker-ce - 5:28.0.2-1~ubuntu.22.04~jammy<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>git - 1:2.34.1-1ubuntu1.12<br>git-man - 1:2.34.1-1ubuntu1.12<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>libref-array1 - 0.6.2-1<br>mailcap - 3.70+nmu1ubuntu1<br>man-db - 2.10.2-1<br>mc - 3:4.8.27-1<br>mc-data - 3:4.8.27-1<br>netbase - 6.3<br>nftables - 1.0.2-1ubuntu3<br>openssh-client - 1:8.9p1-3ubuntu0.11<br>openssh-server - 1:8.9p1-3ubuntu0.11<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.11<br>openssl - 3.0.2-0ubuntu1.19<br>pastebinit - 1.5.1-1ubuntu1<br>postfix - 3.6.4-1ubuntu1.3<br>python3 - 3.10.6-1~22.04.1<br>python3.10 - 3.10.12-1~22.04.9<br>ssh - 1:8.9p1-3ubuntu0.11<br>strace - 5.16-0ubuntu3<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.5 LTS - 22.04.5 LTS (Jammy Jellyfish)<br>unzip - 6.0-26ubuntu3.2<br>vim - 2:8.2.3995-1ubuntu2.23<br>wazuh-agent - 4.12.0-1<br>xauth - 1:1.1-1build2<br>xkb-data - 2.33-1<br>xxd - 2:8.2.3995-1ubuntu2.23<br>zabbix-agent2 - 1:7.0.10-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2
alcor;127.0.0.1<br>10.10.11.181<br>fe80::be24:11ff:fe06:bee5;00:00:00:00:00:00<br>bc:24:11:06:be:e5<br>bc:24:11:06:be:e5;Rack Mount Chassis;;Ubuntu 22.04.5 LTS;Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz;Matrox Electronics Systems Ltd. MGA G200eH3;busybox-static - 1:1.30.1-7ubuntu3.1<br>cracklib-runtime - 2.9.6-3.4build4<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>java-common - 0.72build2<br>libref-array1 - 0.6.2-1<br>lua-luv - 1.36.0-0-1<br>mailcap - 3.70+nmu1ubuntu1<br>man-db - 2.10.2-1<br>mc - 3:4.8.27-1<br>mc-data - 3:4.8.27-1<br>neovim - 0.6.1-3<br>netbase - 6.3<br>nftables - 1.0.2-1ubuntu3<br>openjdk-11-jre - 11.0.26+4-1ubuntu1~22.04<br>openjdk-11-jre-headless - 11.0.26+4-1ubuntu1~22.04<br>openssh-client - 1:8.9p1-3ubuntu0.11<br>openssh-server - 1:8.9p1-3ubuntu0.11<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.11<br>openssl - 3.0.2-0ubuntu1.19<br>pastebinit - 1.5.1-1ubuntu1<br>postfix - 3.6.4-1ubuntu1.3<br>python3 - 3.10.6-1~22.04.1<br>python3.10 - 3.10.12-1~22.04.9<br>ssh - 1:8.9p1-3ubuntu0.11<br>strace - 5.16-0ubuntu3<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.5 LTS - 22.04.5 LTS (Jammy Jellyfish)<br>unzip - 6.0-26ubuntu3.2<br>wazuh-agent - 4.12.0-1<br>x11-common - 1:7.7+23ubuntu2<br>xauth - 1:1.1-1build2<br>xclip - 0.13-2<br>xkb-data - 2.33-1<br>xxd - 2:8.2.3995-1ubuntu2.23<br>zabbix-agent2 - 1:7.0.10-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2
ares;127.0.0.1<br>::1<br>10.20.30.177<br>fe80::be24:11ff:fe1f:b9b4<br>172.20.0.1<br>fe80::42:3eff:fe02:f934<br>172.17.0.1<br>fe80::853:bbff:fe07:7cf3;00:00:00:00:00:00<br>bc:24:11:1f:b9:b4<br>bc:24:11:1f:b9:b4<br>02:42:3e:02:f9:34<br>02:42:11:27:8c:c6<br>0a:53:bb:07:7c:f3;Desktop;oracledb;Ubuntu 22.04.5 LTS;Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz;Hewlett-Packard Company UHD Graphics 630;busybox-static - 1:1.30.1-7ubuntu3.1<br>cracklib-runtime - 2.9.6-3.4build4<br>docker-ce - 5:28.0.4-1~ubuntu.22.04~jammy<br>fluent-bit - 3.2.10<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>git - 1:2.34.1-1ubuntu1.12<br>git-man - 1:2.34.1-1ubuntu1.12<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>java-common - 0.72build2<br>libref-array1 - 0.6.2-1<br>man-db - 2.10.2-1<br>netbase - 6.3<br>nftables - 1.0.2-1ubuntu3<br>openjdk-11-jdk - 11.0.26+4-1ubuntu1~22.04<br>openjdk-11-jdk-headless - 11.0.26+4-1ubuntu1~22.04<br>openjdk-11-jre - 11.0.26+4-1ubuntu1~22.04<br>openjdk-11-jre-headless - 11.0.26+4-1ubuntu1~22.04<br>openssh-client - 1:8.9p1-3ubuntu0.11<br>openssh-server - 1:8.9p1-3ubuntu0.11<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.11<br>openssl - 3.0.2-0ubuntu1.19<br>pastebinit - 1.5.1-1ubuntu1<br>postfix - 3.6.4-1ubuntu1.3<br>python3 - 3.10.6-1~22.04.1<br>python3.10 - 3.10.12-1~22.04.9<br>ssh - 1:8.9p1-3ubuntu0.11<br>strace - 5.16-0ubuntu3<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.5 LTS - 22.04.5 LTS (Jammy Jellyfish)<br>vim - 2:8.2.3995-1ubuntu2.23<br>wazuh-agent - 4.12.0-1<br>x11-common - 1:7.7+23ubuntu2<br>x11proto-dev - 2021.5-1<br>xauth - 1:1.1-1build2<br>xkb-data - 2.33-1<br>xtrans-dev - 1.4.0-1<br>xxd - 2:8.2.3995-1ubuntu2.23<br>zabbix-agent2 - 1:7.0.11-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2
arkanis;127.0.0.1<br>10.40.50.30<br>10.10.11.30<br>10.20.30.30<br>10.78.24.30<br>10.27.39.30<br>10.30.40.30<br>10.50.60.30<br>10.80.90.30;00:00:00:00:00:00<br>bc:24:11:d0:82:b4<br>bc:24:11:19:cd:eb<br>bc:24:11:aa:f7:f7<br>bc:24:11:34:02:c3<br>bc:24:11:5a:22:14<br>bc:24:11:67:50:a3<br>bc:24:11:54:b6:28<br>bc:24:11:6b:e8:c8<br>bc:24:11:d0:82:b4<br>bc:24:11:19:cd:eb<br>bc:24:11:aa:f7:f7<br>bc:24:11:34:02:c3<br>bc:24:11:5a:22:14<br>bc:24:11:67:50:a3<br>bc:24:11:54:b6:28<br>bc:24:11:6b:e8:c8;Rack Mount Chassis;;Debian GNU/Linux 12 (bookworm);Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz;Matrox Electronics Systems Ltd. Integrated Matrox G200eW3 Graphics Controller;apache2 - 2.4.62-1~deb12u2<br>apache2-data - 2.4.62-1~deb12u2<br>aria2 - 1.36.0-1<br>arp-scan - 1.10.0-2<br>cpp - 4:12.2.0-3<br>cpp-12 - 12.2.0-14<br>cracklib-runtime - 2.9.6-5+b1<br>Debian GNU/Linux 12 (bookworm) - 12.10<br>g++ - 4:12.2.0-3<br>g++-12 - 12.2.0-14<br>gcc - 4:12.2.0-3<br>gcc-12 - 12.2.0-14<br>gcc-12-base - 12.2.0-14<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.40-1.1<br>gnupg-l10n - 2.2.40-1.1<br>gpg - 2.2.40-1.1<br>gzip - 1.12-1<br>ieee-data - 20220827.1<br>javascript-common - 11+nmu1<br>libref-array1 - 0.6.2-1<br>lighttpd - 1.4.69-1<br>lighttpd-mod-deflate - 1.4.69-1<br>lighttpd-mod-openssl - 1.4.69-1<br>lua-lpeg - 1.0.2-2<br>mailcap - 3.70+nmu1<br>man-db - 2.11.2-2<br>mc - 3:4.8.29-2<br>mc-data - 3:4.8.29-2<br>nbtscan - 1.7.2-2<br>netbase - 6.4<br>nftables - 1.0.6-2+deb12u2<br>nmap - 7.93+dfsg1-1<br>nmap-common - 7.93+dfsg1-1<br>openssh-client - 1:9.2p1-2+deb12u5<br>openssh-server - 1:9.2p1-2+deb12u5<br>openssh-sftp-server - 1:9.2p1-2+deb12u5<br>openssl - 3.0.15-1~deb12u1<br>pastebinit - 1.6.2-1<br>php - 2:8.2+93<br>php-cgi - 2:8.2+93<br>php-common - 2:93<br>php-curl - 2:8.2+93<br>php-fpm - 2:8.2+93<br>php-sqlite3 - 2:8.2+93<br>php-xml - 2:8.2+93<br>php8.2 - 8.2.28-1~deb12u1<br>php8.2-cgi - 8.2.28-1~deb12u1<br>php8.2-cli - 8.2.28-1~deb12u1<br>php8.2-common - 8.2.28-1~deb12u1<br>php8.2-curl - 8.2.28-1~deb12u1<br>php8.2-fpm - 8.2.28-1~deb12u1<br>php8.2-opcache - 8.2.28-1~deb12u1<br>php8.2-readline - 8.2.28-1~deb12u1<br>php8.2-sqlite3 - 8.2.28-1~deb12u1<br>php8.2-xml - 8.2.28-1~deb12u1<br>postfix - 3.7.11-0+deb12u1<br>python3 - 3.11.2-1+b1<br>python3.11 - 3.11.2-6+deb12u5<br>python3.11-dev - 3.11.2-6+deb12u5<br>reportbug - 12.0.0<br>rpcsvc-proto - 1.4.3-1<br>runit-helper - 2.15.2<br>spawn-fcgi - 1.6.4-2<br>sqlite3 - 3.40.1-2+deb12u1<br>ssh - 1:9.2p1-2+deb12u5<br>tasksel - 3.73<br>tasksel-data - 3.73<br>tmux - 3.3a-3<br>unzip - 6.0-28<br>wakeonlan - 0.41-12.1<br>wazuh-agent - 4.11.1-1<br>zabbix-agent2 - 1:7.0.10-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zip - 3.0-13<br>zlib1g - 1:1.2.13.dfsg-1<br>zlib1g-dev - 1:1.2.13.dfsg-1
at2-psg-01-svil;10.20.30.162<br>127.0.0.1<br>::1<br>10.20.30.162<br>fe80::20c:29ff:fe3b:bb22;00:0c:29:3b:bb:22<br>00:00:00:00:00:00<br>00:0c:29:3b:bb:22;VM;;Ubuntu 22.04.4 LTS;Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz;VMware SVGA II Adapter;bareos-common - 23.0.2~pre16.6cb6b931e-45<br>busybox-initramfs - 1:1.30.1-7ubuntu3<br>busybox-static - 1:1.30.1-7ubuntu3<br>cloud-init - 24.1.3-0ubuntu1~22.04.5<br>cloud-initramfs-copymods - 0.47ubuntu1<br>finalrd - 9build1<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>git - 1:2.34.1-1ubuntu1.11<br>git-man - 1:2.34.1-1ubuntu1.11<br>glpi-agent - 1:1.7.1-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>lftp - 4.9.2-1build1<br>man-db - 2.10.2-1<br>mdadm - 4.2-0ubuntu2<br>needrestart - 3.5-5ubuntu2.1<br>netbase - 6.3<br>nfs-common - 1:2.6.1-1ubuntu1.2<br>nftables - 1.0.2-1ubuntu3<br>open-iscsi - 2.1.5-1ubuntu1<br>openssh-client - 1:8.9p1-3ubuntu0.7<br>openssh-server - 1:8.9p1-3ubuntu0.7<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.7<br>openssl - 3.0.2-0ubuntu1.15<br>overlayroot - 0.47ubuntu1<br>pastebinit - 1.5.1-1ubuntu1<br>polkitd - 0.105-33<br>pollinate - 4.33-3ubuntu2<br>postgresql-14 - 14.12-0ubuntu0.22.04.1<br>postgresql-14-pldebugger - 1:1.5-2.pgdg22.04+1<br>postgresql-client-14 - 14.12-0ubuntu0.22.04.1<br>postgresql-client-common - 241.pgdg22.04+1<br>postgresql-common - 241.pgdg22.04+1<br>python-babel-localedata - 2.8.0+dfsg.1-7<br>python3 - 3.10.6-1~22.04<br>python3.10 - 3.10.12-1~22.04.3<br>rpcbind - 1.2.6-2build1<br>ssh-import-id - 5.11-0ubuntu1<br>strace - 5.16-0ubuntu3<br>sysstat - 12.5.2-2ubuntu0.2<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.4 LTS - 22.04.4 LTS (Jammy Jellyfish)<br>udisks2 - 2.9.4-1ubuntu2<br>usbmuxd - 1.1.1-2build2<br>vim - 2:8.2.3995-1ubuntu2.17<br>wazuh-agent - 4.7.2-1<br>wireless-regdb - 2022.06.06-0ubuntu1~22.04.1<br>xauth - 1:1.1-1build2<br>xkb-data - 2.33-1<br>xxd - 2:8.2.3995-1ubuntu2.17<br>zabbix-release - 1:7.0-1+ubuntu22.04<br>zerofree - 1.1.1-1build3<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2
ator;127.0.0.1<br>10.40.50.204<br>fe80::be24:11ff:fec7:826d<br>172.17.0.1;00:00:00:00:00:00<br>bc:24:11:c7:82:6d<br>bc:24:11:c7:82:6d<br>72:ff:5b:a6:13:01;Desktop;;Ubuntu 22.04.5 LTS;Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz;Hewlett-Packard Company UHD Graphics 630;busybox-static - 1:1.30.1-7ubuntu3.1<br>cracklib-runtime - 2.9.6-3.4build4<br>docker-ce - 5:28.0.3-1~ubuntu.22.04~jammy<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>git - 1:2.34.1-1ubuntu1.12<br>git-man - 1:2.34.1-1ubuntu1.12<br>gitlab-runner - 16.11.1-1<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>libref-array1 - 0.6.2-1<br>mailcap - 3.70+nmu1ubuntu1<br>man-db - 2.10.2-1<br>mc - 3:4.8.27-1<br>mc-data - 3:4.8.27-1<br>netbase - 6.3<br>nftables - 1.0.2-1ubuntu3<br>openssh-client - 1:8.9p1-3ubuntu0.11<br>openssh-server - 1:8.9p1-3ubuntu0.11<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.11<br>openssl - 3.0.2-0ubuntu1.19<br>pastebinit - 1.5.1-1ubuntu1<br>postfix - 3.6.4-1ubuntu1.3<br>python3 - 3.10.6-1~22.04.1<br>python3.10 - 3.10.12-1~22.04.9<br>ssh - 1:8.9p1-3ubuntu0.11<br>strace - 5.16-0ubuntu3<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.5 LTS - 22.04.5 LTS (Jammy Jellyfish)<br>unzip - 6.0-26ubuntu3.2<br>wazuh-agent - 4.12.0-1<br>xauth - 1:1.1-1build2<br>xkb-data - 2.33-1<br>xxd - 2:8.2.3995-1ubuntu2.23<br>zabbix-agent2 - 1:7.0.10-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2
berason;127.0.0.1<br>10.10.11.102<br>fe80::be24:11ff:feb3:cc40;00:00:00:00:00:00<br>bc:24:11:b3:cc:40<br>bc:24:11:b3:cc:40;Desktop;;Ubuntu 22.04.5 LTS;12th Gen Intel(R) Core(TM) i7-12700;Intel Corporation AlderLake-S GT1;busybox-static - 1:1.30.1-7ubuntu3.1<br>cracklib-runtime - 2.9.6-3.4build4<br>gcc-12-base - 12.3.0-1ubuntu1~22.04<br>git - 1:2.34.1-1ubuntu1.12<br>git-man - 1:2.34.1-1ubuntu1.12<br>glpi-agent - 1:1.11-1<br>gnupg - 2.2.27-3ubuntu2.1<br>gnupg-l10n - 2.2.27-3ubuntu2.1<br>gpg - 2.2.27-3ubuntu2.1<br>gzip - 1.10-4ubuntu4.1<br>java-common - 0.72build2<br>libref-array1 - 0.6.2-1<br>lua-luv - 1.36.0-0-1<br>mailcap - 3.70+nmu1ubuntu1<br>man-db - 2.10.2-1<br>mc - 3:4.8.27-1<br>mc-data - 3:4.8.27-1<br>neovim - 0.6.1-3<br>netbase - 6.3<br>nftables - 1.0.2-1ubuntu3<br>openjdk-8-jre-headless - 8u442-b06~us1-0ubuntu1~22.04<br>openssh-client - 1:8.9p1-3ubuntu0.11<br>openssh-server - 1:8.9p1-3ubuntu0.11<br>openssh-sftp-server - 1:8.9p1-3ubuntu0.11<br>openssl - 3.0.2-0ubuntu1.19<br>pastebinit - 1.5.1-1ubuntu1<br>postfix - 3.6.4-1ubuntu1.3<br>python3 - 3.10.6-1~22.04.1<br>python3.10 - 3.10.12-1~22.04.9<br>ssh - 1:8.9p1-3ubuntu0.11<br>strace - 5.16-0ubuntu3<br>tmux - 3.2a-4ubuntu0.2<br>Ubuntu 22.04.5 LTS - 22.04.5 LTS (Jammy Jellyfish)<br>unzip - 6.0-26ubuntu3.2<br>wazuh-agent - 4.12.0-1<br>x11-common - 1:7.7+23ubuntu2<br>xauth - 1:1.1-1build2<br>xclip - 0.13-2<br>xkb-data - 2.33-1<br>xxd - 2:8.2.3995-1ubuntu2.23<br>zabbix-agent2 - 1:7.0.10-1+ubuntu22.04<br>zabbix-release - 1:7.0-2+ubuntu22.04<br>zlib1g - 1:1.2.11.dfsg-2ubuntu9.2
